,Saison,Name,Player_ID,Alter,Nationalität,Abgebender Verein,ID_1,Aufnehmender Verein,ID_2,Zielland,Ablösesumme
0,03/04,Baykal Bellusci,2873,20,Türkei,Grasshopper Club Zürich,504,FC Thun,938,Schweiz,ablösefrei
1,03/04,José Manuel Chatruc,6574,27,Argentinien,Grasshopper Club Zürich,504,Barcelona SC Guayaquil,3523,Ecuador,ablösefrei
2,03/04,Sebastián Rozental,2868,26,Chile,Grasshopper Club Zürich,504,CD Universidad Católica,3277,Chile,ablösefrei
3,03/04,Mate Baturina,2869,29,Kroatien,Grasshopper Club Zürich,504,Bnei Yehuda Tel Aviv,9095,Israel,ablösefrei
4,03/04,Yassin Mikari,2878,20,Tunesien,Grasshopper Club Zürich,504,FC Luzern,434,Schweiz,ablösefrei
5,03/04,Gerardo Morales,2876,27,Uruguay,Grasshopper Club Zürich,504,Montevideo Wanderers,2403,Uruguay,ablösefrei
6,03/04,Ricardo Cabanas,2870,24,Schweiz,Grasshopper Club Zürich,504,EA Guingamp,855,Frankreich,ablösefrei
7,03/04,Rade Petkovic,310093,15,Serbien,Grasshopper Club Zürich,504,FC Lachen/Altendorf,14518,Schweiz,?
8,03/04,Edmar,172261,19,Brasilien,Grasshopper Club Zürich,504,Sociedade Esportiva Matsubara (PR),3097,Brasilien,?
9,03/04,Kjetil Lövvik,106842,30,Norwegen,Grasshopper Club Zürich,504,Stord IL,32388,Norwegen,?
10,03/04,Alfred Emuejeraye,69891,20,Nigeria,Grasshopper Club Zürich,504,Julius Berger FC,1549,Nigeria,?
11,03/04,Marc Hodel,2860,32,Schweiz,Grasshopper Club Zürich,504,FC Wohlen,1978,Schweiz,?
12,03/04,Reto Zanni,2859,23,Schweiz,Grasshopper Club Zürich,504,FC Thun,938,Schweiz,?
13,03/04,Fabio Digenti,9927,-,Schweiz,Grasshopper Club Zürich,504,FC Schaffhausen,1277,Schweiz,-
14,03/04,Marco Streller,4879,22,Schweiz,FC Basel 1893,26,VfB Stuttgart,79,Deutschland,"3,00 Mio. €"
15,03/04,Hakan Yakin,1054,26,Schweiz,FC Basel 1893,26,VfB Stuttgart,79,Deutschland,"2,50 Mio. €"
16,03/04,Hakan Yakin,1054,26,Schweiz,FC Basel 1893,26,FC Paris Saint-Germain,583,Frankreich,"1,60 Mio. €"
17,03/04,Antonio Esposito,2896,31,Schweiz,FC Basel 1893,26,Varese FC,4361,Italien,ablösefrei
18,03/04,André Muff,4934,22,Schweiz,FC Basel 1893,26,FC Zürich,260,Schweiz,ablösefrei
19,03/04,Zé Maria,9548,27,Brasilien,FC Basel 1893,26,Prudentópolis Esporte Clube (PR),1019,Brasilien,?
20,03/04,Naoki Imaya,9553,23,Japan,Neuchâtel Xamax,625,FC La Chaux-de-Fonds,2055,Schweiz,ablösefrei
21,03/04,Gabriel Wüthrich,4788,21,Schweiz,Neuchâtel Xamax,625,SR Delémont,939,Schweiz,ablösefrei
22,03/04,Bruce Inkango,29298,19,Frankreich,Neuchâtel Xamax,625,Angers SCO,1420,Frankreich,ablösefrei
23,03/04,Leandro,499,28,Brasilien,Neuchâtel Xamax,625,BSC Young Boys,452,Schweiz,ablösefrei
24,03/04,Remo Buess,4791,25,Schweiz,Neuchâtel Xamax,625,FC Zürich,260,Schweiz,ablösefrei
25,03/04,Jérôme Schneider,4799,21,Schweiz,Neuchâtel Xamax,625,SR Delémont,939,Schweiz,?
26,03/04,Salah Iddine Khlifi,4790,24,Marokko,Neuchâtel Xamax,625,Al-Ittihad Club (Dschidda),8023,Saudi-Arabien,?
27,03/04,Augustine Simo,2911,24,Kamerun,Neuchâtel Xamax,625,FC Zürich,260,Schweiz,?
28,03/04,Caryl Righetti,4798,18,Schweiz,Neuchâtel Xamax,625,FC Luzern,434,Schweiz,?
29,03/04,Johan Vonlanthen,4692,17,Schweiz,BSC Young Boys,452,PSV Eindhoven,383,Niederlande,800 Tsd. €
30,03/04,Avraham Tikva,4858,27,Israel,BSC Young Boys,452,Maccabi Petah Tikva,3785,Israel,ablösefrei
31,03/04,Martin Fryand,4856,31,Schweiz,BSC Young Boys,452,FC Münsingen,4369,Schweiz,ablösefrei
32,03/04,Jean-Francois Bell,6696,22,Kamerun,BSC Young Boys,452,Etoile Carouge FC,1292,Schweiz,ablösefrei
33,03/04,Andrea Rotanzi,4844,23,Schweiz,BSC Young Boys,452,Yverdon Sport FC,322,Schweiz,ablösefrei
34,03/04,Paulinho,4851,21,Brasilien,BSC Young Boys,452,SSV Jahn Regensburg,109,Deutschland,ablösefrei
35,03/04,Jure Mioc,4842,20,Schweiz,BSC Young Boys,452,FC Solothurn,1287,Schweiz,ablösefrei
36,03/04,Suat Türker,5032,27,Türkei,BSC Young Boys,452,Kickers Offenbach,107,Deutschland,ablösefrei
37,03/04,Artur Petrosyan,4852,31,Armenien,BSC Young Boys,452,FC Zürich,260,Schweiz,ablösefrei
38,03/04,Harutyun Vardanyan,4845,32,Armenien,BSC Young Boys,452,Servette FC,61,Schweiz,?
39,03/04,Óscar Echeverry,73412,26,Kolumbien,BSC Young Boys,452,Caracas FC,531,Venezuela,?
40,03/04,Paul Bollendorf,339022,23,Luxemburg,BSC Young Boys,452,FC Münsingen,4369,Schweiz,?
41,03/04,Ljubo Milicevic,2901,22,Australien,FC Zürich,260,FC Thun,938,Schweiz,ablösefrei
42,03/04,Wilco Hellinga,4943,32,Niederlande,FC Zürich,260,SC Veendam,1284,Niederlande,ablösefrei
43,03/04,Miroslav König,2910,31,Slowakei,FC Zürich,260,Elazigspor,2292,Türkei,ablösefrei
44,03/04,Mario Raimondi,4948,22,Schweiz,FC Zürich,260,FC Thun,938,Schweiz,ablösefrei
45,03/04,Marabá,14146,26,Brasilien,FC Zürich,260,Goiás Esporte Clube,3197,Brasilien,ablösefrei
46,03/04,Selcuk Beyaz,207132,23,Türkei,FC Zürich,260,Kocaelispor,120,Türkei,?
47,03/04,Jefferson Batista,60899,27,Brasilien,FC Zürich,260,Esporte Clube Vitória,2125,Brasilien,?
48,03/04,Stephan Keller,4940,24,Schweiz,FC Zürich,260,FC Aarau,116,Schweiz,?
49,03/04,Yvan Quentin,4941,33,Schweiz,FC Zürich,260,FC Sion,321,Schweiz,?
50,03/04,Francesco Di Jorio,3897,29,Schweiz,FC Zürich,260,FC Sion,321,Schweiz,?
51,03/04,Vural Önen,4946,22,Schweiz,FC Zürich,260,FC Altstetten Zürich,4353,Schweiz,?
52,03/04,Philippe Senderos,4277,18,Schweiz,Servette FC,61,FC Arsenal,11,England,"3,55 Mio. €"
53,03/04,Alain Gaspoz,4819,33,Benin,Servette FC,61,FC Aarau,116,Schweiz,ablösefrei
54,03/04,Jean-Claude Lanoizelet,4820,22,Frankreich,Servette FC,61,US Sambenedettese,4330,Italien,ablösefrei
55,03/04,Galvão,4824,20,Brasilien,Servette FC,61,União São João EC (SP),734,Brasilien,?
56,03/04,Stephan Balmer,4861,27,Schweiz,FC Thun,938,FC Wil 1900,850,Schweiz,ablösefrei
57,03/04,Marco Parnela,4866,22,Finnland,FC Thun,938,FC Zwolle,1269,Niederlande,ablösefrei
58,03/04,Serge Yoffou,4880,31,Elfenbeinküste,FC Thun,938,CS Chênois,4536,Schweiz,ablösefrei
59,03/04,Andreas Heiniger,4874,22,Schweiz,FC Thun,938,FC Biel-Bienne,2155,Schweiz,ablösefrei
60,03/04,Daniel Stettler,4868,23,Schweiz,FC Thun,938,SR Delémont,939,Schweiz,ablösefrei
61,03/04,Giuseppe Gambino,68138,34,Schweiz,FC Wil 1900,850,FC Herisau,5493,Schweiz,ablösefrei
62,03/04,Philipp Meyer,16509,22,Schweiz,FC Wil 1900,850,SC Austria Lustenau,541,Österreich,ablösefrei
63,03/04,Dusan Pavlovic,4784,25,Schweiz,FC Wil 1900,850,FC St. Gallen 1879,257,Schweiz,ablösefrei
64,03/04,Valmir Pontes-Arantes,4778,22,Brasilien,FC Wil 1900,850,FC Gossau,2148,Schweiz,ablösefrei
65,03/04,Umberto Romano,3894,30,Schweiz,FC Wil 1900,850,FC Lugano,2790,Schweiz,ablösefrei
66,03/04,Mauro Lustrinelli,3892,27,Schweiz,FC Wil 1900,850,FC Thun,938,Schweiz,ablösefrei
67,03/04,Alessandro Mangiarratti,3893,25,Schweiz,FC Wil 1900,850,CF Os Belenenses,68608,Portugal,ablösefrei
68,03/04,Dilaver Satilmis,4771,24,Schweiz,FC Wil 1900,850,Diyarbakirspor,845,Türkei,ablösefrei
69,03/04,Yacouba Bamba,4783,27,Elfenbeinküste,FC Wil 1900,850,SC YF Juventus Zürich,2395,Schweiz,?
70,03/04,Bruno Sutter,4776,26,Schweiz,FC Wil 1900,850,FC St. Gallen 1879,257,Schweiz,?
71,03/04,Darko Damjanovic,4768,25,Serbien,FC Wil 1900,850,FC Kreuzlingen,2772,Schweiz,?
