,Saison,Name,Player_ID,Alter,Nationalität,Abgebender Verein,ID_1,Aufnehmender Verein,ID_2,Zielland,Ablösesumme,Ligahöhe
0,03/04,Ebou Sillah,12089,23,Gambia,FC Brügge,2282,Rubin Kazan,2698,Russland,0.0,1.Liga
1,03/04,Josip Simic,9664,26,Kroatien,FC Brügge,2282,Ulsan Hyundai,3535,Südkorea,0.0,
2,03/04,Sandy Martens,9649,31,Belgien,FC Brügge,2282,KAA Gent,157,Belgien,0.0,1.Liga
3,03/04,Tjörven De Brul,13722,30,Belgien,FC Brügge,2282,KAA Gent,157,Belgien,0.0,1.Liga
4,03/04,Bratislav Ristic,24048,23,Serbien,FC Brügge,2282,Metalurg Donetsk (- 2015),2783,Ukraine,0.0,1.Liga
5,03/04,Koen Schockaert,13086,25,Belgien,FC Brügge,2282,Germinal Beerschot Antwerpen,566,Belgien,0.0,1.Liga
6,03/04,Kurt Delaere,25421,20,Belgien,FC Brügge,2282,KMSK Deinze,2321,Belgien,0.0,
7,03/04,José Duarte,131835,22,Brasilien,FC Brügge,2282,Hapoel Beer Sheva,2976,Israel,0.0,
8,03/04,Aminu Sani,131844,23,Nigeria,FC Brügge,2282,Hapoel Beer Sheva,2976,Israel,0.0,
9,03/04,Ivica Mornar,9615,30,Kroatien,RSC Anderlecht,58,FC Portsmouth,1020,England,600000.0,1.Liga
10,03/04,Filip De Wilde,6165,38,Belgien,RSC Anderlecht,58,SK Sturm Graz,122,Österreich,0.0,1.Liga
11,03/04,Zeljko Pavlovic,6141,32,Kroatien,RSC Anderlecht,58,SV Austria Salzburg,409,Österreich,0.0,1.Liga
12,03/04,Yasin Karaca,7276,19,Türkei,RSC Anderlecht,58,Akcaabat Sebatspor,1511,Türkei,0.0,1.Liga
13,03/04,Ode Thompson,12088,22,Nigeria,RSC Anderlecht,58,RBC Roosendaal,1227,Niederlande,0.0,1.Liga
14,03/04,Zvonko Milojevic,12965,31,Serbien,RSC Anderlecht,58,KSC Lokeren (- 2020),498,Belgien,0.0,1.Liga
15,03/04,Bertrand Crasson,13046,31,Belgien,RSC Anderlecht,58,Lierse SK (- 2018),204,Belgien,0.0,1.Liga
16,03/04,Aleksandar Ilić,9603,34,Serbien,RSC Anderlecht,58,Vitesse Arnheim,499,Niederlande,0.0,1.Liga
17,03/04,Kevin Nicolay,133929,22,Belgien,RSC Anderlecht,58,KFC Verbroedering Geel (- 2008),1749,Belgien,0.0,
18,03/04,Roman Vonasek,15552,34,Tschechien,KSC Lokeren (- 2020),498,KV Mechelen,354,Belgien,0.0,
19,03/04,Bureima Maiga,12962,20,Burkina Faso,KSC Lokeren (- 2020),498,Planète Champion Ouagadougou,2716,Burkina Faso,0.0,
20,03/04,Mladen Dabanovic,12910,32,Slowenien,KSC Lokeren (- 2020),498,NK Drava Ptuj,3812,Slowenien,0.0,1.Liga
21,03/04,Sambégou Bangoura,13437,21,Guinea,KSC Lokeren (- 2020),498,Standard Lüttich,3057,Belgien,0.0,1.Liga
22,03/04,Serge Mputu Mbungu,7328,23,DR Kongo,KSC Lokeren (- 2020),498,Caykur Rizespor,126,Türkei,0.0,1.Liga
23,03/04,Papy Kimoto,13470,26,DR Kongo,KSC Lokeren (- 2020),498,Standard Lüttich,3057,Belgien,0.0,1.Liga
24,03/04,Stefan Van Dender,20361,26,Belgien,KSC Lokeren (- 2020),498,SWI Harelbeke,10370,Belgien,0.0,
25,03/04,Alhassane Issoufou,65074,23,Niger,KSC Lokeren (- 2020),498,Rail Club du Kadiogo,13611,Burkina Faso,0.0,
26,03/04,Blaise Issankoy-Massiva,90136,24,DR Kongo,KSC Lokeren (- 2020),498,White Star Woluwe FC,6342,Belgien,0.0,
27,03/04,Steven De Geest,131846,22,Belgien,KSC Lokeren (- 2020),498,Eendracht Opstal,20512,Belgien,0.0,
28,03/04,Ortwin Helderwert,533147,20,Belgien,KSC Lokeren (- 2020),498,Standaard Wetteren,3083,Belgien,0.0,
29,03/04,Danny Boffin,13272,38,Belgien,VV St. Truiden,475,Standard Lüttich,3057,Belgien,0.0,1.Liga
30,03/04,Phillipe Lenglois,10261,30,Belgien,VV St. Truiden,475,KAS Eupen,1245,Belgien,0.0,
31,03/04,Marcos Pereira,13348,28,Brasilien,VV St. Truiden,475,Royal Antwerpen FC,1096,Belgien,0.0,1.Liga
32,03/04,Rory Hegelmeers,19597,20,Belgien,VV St. Truiden,475,KVC Willebroek-Meerhof,6348,Belgien,0.0,
33,03/04,Arouna Koné,8552,19,Elfenbeinküste,Lierse SK (- 2018),204,Roda JC Kerkrade,192,Niederlande,1000000.0,1.Liga
34,03/04,Axel Smeets,7030,28,Belgien,Lierse SK (- 2018),204,MKE Ankaragücü,868,Türkei,0.0,1.Liga
35,03/04,Karel Snoeckx,15701,30,Belgien,Lierse SK (- 2018),204,Germinal Beerschot Antwerpen,566,Belgien,0.0,1.Liga
36,03/04,Geir Frigard,8591,33,Norwegen,Lierse SK (- 2018),204,Hamarkameratene,4309,Norwegen,0.0,1.Liga
37,03/04,Stijn Haeldermans,13013,28,Belgien,Lierse SK (- 2018),204,Heusden-Zolder SK,1417,Belgien,0.0,1.Liga
38,03/04,Stein Huysegems,15007,21,Belgien,Lierse SK (- 2018),204,AZ Alkmaar,1090,Niederlande,0.0,1.Liga
39,03/04,Cheikh Gadiaga,12929,23,Senegal,Lierse SK (- 2018),204,RAEC Mons (- 2015),1411,Belgien,0.0,1.Liga
40,03/04,Stijn Janssens,133923,20,Belgien,Lierse SK (- 2018),204,Verbroedering Denderhoutem,9010,Belgien,0.0,
41,03/04,Wesley Sonck,1532,24,Belgien,KRC Genk,1184,Ajax Amsterdam,610,Niederlande,6000000.0,1.Liga
42,03/04,Moumouni Dagano,6839,22,Burkina Faso,KRC Genk,1184,EA Guingamp,855,Frankreich,1800000.0,1.Liga
43,03/04,Josip Skoko,7266,27,Australien,KRC Genk,1184,Genclerbirligi Ankara,820,Türkei,1350000.0,1.Liga
44,03/04,Muhammet Hanifi Yoldas,13387,20,Türkei,KRC Genk,1184,RAEC Mons (- 2015),1411,Belgien,0.0,1.Liga
45,03/04,Sebahi Önal,17253,20,Belgien,KRC Genk,1184,Alemannia Aachen II,578,Deutschland,0.0,
46,03/04,Mike Mampuya,32388,20,DR Kongo,KRC Genk,1184,Heusden-Zolder SK,1417,Belgien,0.0,1.Liga
47,03/04,Igor Tomasic,4701,26,Bulgarien,KRC Genk,1184,Hapoel Petah Tikva,262,Israel,0.0,
48,03/04,Dominik Bersnjak,13022,22,Slowenien,KRC Genk,1184,NK Maribor,790,Slowenien,0.0,1.Liga
49,03/04,Almir Sulejmanovic,58143,25,Slowenien,KRC Genk,1184,NS Mura,4059,Slowenien,0.0,1.Liga
50,03/04,Ole Martin Arst,15554,28,Norwegen,Standard Lüttich,3057,Tromsø IL,1293,Norwegen,600000.0,1.Liga
51,03/04,Michaël Goossens,4830,29,Belgien,Standard Lüttich,3057,Grazer AK,316,Österreich,0.0,1.Liga
52,03/04,Johan Walem,6153,31,Belgien,Standard Lüttich,3057,Torino Calcio,416,Italien,0.0,2.Liga
53,03/04,Filip Susnjara,12524,27,Kroatien,Standard Lüttich,3057,RAA La Louviere (- 2009),2180,Belgien,0.0,1.Liga
54,03/04,Rabiu Afolabi,4829,23,Nigeria,Standard Lüttich,3057,FK Austria Wien,14,Österreich,0.0,1.Liga
55,03/04,Khalid Fouhami,13864,30,Marokko,Standard Lüttich,3057,Académica Coimbra,2990,Portugal,0.0,1.Liga
56,03/04,Sébastien Grégoire,139935,20,Belgien,Standard Lüttich,3057,KV Mechelen,354,Belgien,0.0,
57,03/04,Grégory Rondeux,15963,18,Belgien,Standard Lüttich,3057,KAS Eupen,1245,Belgien,0.0,
58,03/04,Harold Meyssen,13075,31,Belgien,Standard Lüttich,3057,Cercle Brügge,520,Belgien,0.0,1.Liga
59,03/04,Gaby Mudingayi,13749,22,Belgien,KAA Gent,157,Torino Calcio,416,Italien,300000.0,2.Liga
60,03/04,Geri Cipi,5217,27,Albanien,KAA Gent,157,Eintracht Frankfurt,24,Deutschland,125000.0,1.Liga
61,03/04,Spencer Verbiest,6167,19,Belgien,KAA Gent,157,SC Heerenveen,306,Niederlande,0.0,1.Liga
62,03/04,Brecht Verbrugghe,26374,21,Belgien,KAA Gent,157,SV Zulte Waregem,3508,Belgien,0.0,
