,Saison,Name,Player_ID,Alter,Nationalität,Abgebender Verein,ID_1,Aufnehmender Verein,ID_2,Zielland,Ablösesumme,Ligahöhe
0,03/04,Georgios Melabianakis,24807,22,Griechenland,Olympiakos Piräus,683,Ionikos Nikeas,553,Griechenland,0,1.Liga
1,03/04,Zizi Roberts,27003,24,Liberia,Olympiakos Piräus,683,Colorado Rapids,1247,Vereinigte Staaten,0,1.Liga
2,03/04,Jorge Bermúdez,17481,32,Kolumbien,Olympiakos Piräus,683,CA Newell's Old Boys,1286,Argentinien,0,1.Liga
3,03/04,Peter Ofori-Quaye,37130,23,Ghana,Olympiakos Piräus,683,Liberty Professionals FC,13607,Ghana,0,
4,03/04,Zé Elias,21966,26,Brasilien,Olympiakos Piräus,683,Genua CFC,252,Italien,0,2.Liga
5,03/04,Angelos Georgiou,17233,28,Griechenland,Olympiakos Piräus,683,Akratitos Ano Liosion,1119,Griechenland,0,1.Liga
6,03/04,Georgios Amanatidis,20796,33,Griechenland,Olympiakos Piräus,683,APOEL Nikosia,2784,Zypern,0,
7,03/04,Stelios Giannakopoulos,4254,28,Griechenland,Olympiakos Piräus,683,Bolton Wanderers,355,England,0,1.Liga
8,03/04,Ilias Poursanidis,17227,31,Griechenland,Olympiakos Piräus,683,Iraklis Thessaloniki,47,Griechenland,0,1.Liga
9,03/04,Pär Zetterberg,3096,32,Schweden,Olympiakos Piräus,683,RSC Anderlecht,58,Belgien,0,1.Liga
10,03/04,Anastasios Lykoudis,383092,20,Griechenland,Olympiakos Piräus,683,Apollon Chalandriou,63857,Griechenland,0,
11,03/04,Georgios Karagounis,6106,26,Griechenland,Panathinaikos Athen,265,FC Internazionale,46,Italien,0,1.Liga
12,03/04,Minas Pitsos,16439,22,Griechenland,Panathinaikos Athen,265,OFI Kreta,653,Griechenland,0,1.Liga
13,03/04,Leonidas Vokolos,16603,32,Griechenland,Panathinaikos Athen,265,PAOK Thessaloniki,1091,Griechenland,0,1.Liga
14,03/04,Takis Fyssas,9845,30,Griechenland,Panathinaikos Athen,265,Benfica Lissabon,294,Portugal,0,1.Liga
15,03/04,Nikolaos Lyberopoulos,9854,27,Griechenland,Panathinaikos Athen,265,AEK Athen,2441,Griechenland,0,1.Liga
16,03/04,Joonas Kolkka,4293,28,Finnland,Panathinaikos Athen,265,Borussia Mönchengladbach,18,Deutschland,0,1.Liga
17,03/04,Chaínho,14121,28,Portugal,Panathinaikos Athen,265,CS Marítimo,1301,Portugal,0,1.Liga
18,03/04,Daniel Saric,27928,31,Kroatien,Panathinaikos Athen,265,HNK Rijeka,144,Kroatien,0,
19,03/04,Erik Lincar,1451,24,Rumänien,Panathinaikos Athen,265,Akratitos Ano Liosion,1119,Griechenland,0,1.Liga
20,03/04,Demis Nikolaidis,7365,29,Griechenland,AEK Athen,2441,Atlético Madrid,13,Spanien,0,1.Liga
21,03/04,Grigoris Georgatos,9873,31,Griechenland,AEK Athen,2441,Olympiakos Piräus,683,Griechenland,0,1.Liga
22,03/04,Christos Maladenis,9872,29,Griechenland,AEK Athen,2441,PAOK Thessaloniki,1091,Griechenland,0,1.Liga
23,03/04,Wálter Centeno,35371,28,Costa Rica,AEK Athen,2441,Deportivo Saprissa,4720,Costa Rica,0,
24,03/04,Livio Prieto,48592,21,Argentinien,AEK Athen,2441,Nueva Chicago,10534,Argentinien,0,1.Liga
25,03/04,Mauricio Wright,35382,32,Costa Rica,AEK Athen,2441,Shenyang Ginde,18916,China,0,
26,03/04,Mariusz Kukielka,4298,26,Polen,PAOK Thessaloniki,1091,1.FC Nürnberg,4,Deutschland,0,2.Liga
27,03/04,Petros Kanakoudis,51951,19,Griechenland,PAOK Thessaloniki,1091,ILTEX Lyki,6677,Griechenland,0,
28,03/04,Kamil Susko,52153,28,Slowakei,PAOK Thessaloniki,1091,Sepahan FC,4947,Iran,0,
29,03/04,Napoleon Amaefule,15136,23,Nigeria,PAOK Thessaloniki,1091,Shooting Stars SC,5739,Nigeria,0,
30,03/04,Kosmas Vakoufaris,25676,19,Griechenland,PAOK Thessaloniki,1091,ILTEX Lyki,6677,Griechenland,0,
31,03/04,Vangelis Nastos,22810,23,Griechenland,PAOK Thessaloniki,1091,AC Perugia,839,Italien,0,1.Liga
32,03/04,Nikolaos Frousos,16182,29,Griechenland,PAOK Thessaloniki,1091,Ionikos Nikeas,553,Griechenland,0,1.Liga
33,03/04,Kofi Amponsah,9874,25,Ghana,PAOK Thessaloniki,1091,AEK Athen,2441,Griechenland,0,1.Liga
34,03/04,Pantelis Kafes,9684,25,Griechenland,PAOK Thessaloniki,1091,Olympiakos Piräus,683,Griechenland,0,1.Liga
35,03/04,Georgios Georgiadis,9678,31,Griechenland,PAOK Thessaloniki,1091,Olympiakos Piräus,683,Griechenland,0,1.Liga
