,Saison,Name,Player_ID,Alter,Nationalität,Abgebender Verein,ID_1,Aufnehmender Verein,ID_2,Zielland,Ablösesumme,Ligahöhe
0,03/04,Hélder Postiga,5169,20,Portugal,FC Porto,720,Tottenham Hotspur,148,England,9000000 ,1.Liga
1,03/04,Capucho,8563,31,Portugal,FC Porto,720,Glasgow Rangers,124,Schottland,1000000 ,
2,03/04,Paulo Costa,6177,23,Portugal,FC Porto,720,FC Girondins Bordeaux,40,Frankreich,0,1.Liga
3,03/04,Manuel José,13122,22,Portugal,FC Porto,720,Vitória Setúbal FC,1085,Portugal,0,
4,03/04,Sousa,14206,25,Portugal,FC Porto,720,CF Os Belenenses,68608,Portugal,0,1.Liga
5,03/04,António Folha,17351,32,Portugal,FC Porto,720,FC Penafiel,3327,Portugal,0,
6,03/04,Clayton,13861,27,Brasilien,FC Porto,720,Sporting Lissabon,336,Portugal,0,1.Liga
7,03/04,Ljubinko Drulovic,3627,34,Serbien,Benfica Lissabon,294,FK Partizan Belgrad,669,Serbien,0,
8,03/04,Anders Andersson,13210,29,Schweden,Benfica Lissabon,294,CF Os Belenenses,68608,Portugal,0,1.Liga
9,03/04,Carlitos,13215,26,Portugal,Benfica Lissabon,294,Polideportivo Ejido,606,Spanien,0,2.Liga
10,03/04,Ricardo André,14364,20,Portugal,Benfica Lissabon,294,FC Paços de Ferreira,2995,Portugal,0,1.Liga
11,03/04,Éder Bonfim,13975,22,Brasilien,Benfica Lissabon,294,SC Braga,1075,Portugal,0,1.Liga
12,03/04,Paulo Fonseca,27181,21,Portugal,Benfica Lissabon,294,SC Braga,1075,Portugal,0,1.Liga
13,03/04,André Neles,17600,25,Äquatorialguinea,Benfica Lissabon,294,CS Marítimo,1301,Portugal,0,1.Liga
14,03/04,Marco Freitas,401377,30,Angola,Benfica Lissabon,294,FC Felgueiras,1701,Portugal,0,
15,03/04,Pêpa,33475,22,Portugal,Benfica Lissabon,294,Varzim SC,4297,Portugal,0,
16,03/04,Cristiano Ronaldo,8198,18,Portugal,Sporting Lissabon,336,Manchester United,985,England,19000000 ,1.Liga
17,03/04,Ricardo Quaresma,4188,19,Portugal,Sporting Lissabon,336,FC Barcelona,131,Spanien,6350000 ,1.Liga
