,Saison,Name,Player_ID,Alter,Nationalität,Abgebender Verein,ID_1,Aufnehmender Verein,ID_2,Zielland,Ablösesumme,Ligahöhe
0,04/05,Bojan Zavisic,10281,25,Serbien,FK Partizan Belgrad,669,FK Sutjeska Niksic,3070,Serbien,0,
1,04/05,Nenad Kutlacic,36020,23,Bosnien-Herzegowina,FK Partizan Belgrad,669,FK Rudar Ugljevik,6806,Bosnien-Herzegowina,0,
2,04/05,Dejan Rusmir,36059,24,Serbien,FK Partizan Belgrad,669,FK Rad Belgrad,902,Serbien,0,
3,04/05,Nenad Stojakovic,36076,24,Serbien,FK Partizan Belgrad,669,FK Rad Belgrad,902,Serbien,0,
4,04/05,Bojan Brnovic,14538,25,Montenegro,FK Partizan Belgrad,669,FK Obilic,37,Serbien,0,
5,04/05,Ajazdin Nuhi,10293,24,Serbien,FK Partizan Belgrad,669,FK Zeta Golubovac,1004,Serbien,0,
6,04/05,Taribo West,1403,30,Nigeria,FK Partizan Belgrad,669,Al-Arabi SC,1230,Katar,0,
7,04/05,Dzenan Radoncic,10294,20,Montenegro,FK Partizan Belgrad,669,Incheon United,2996,Südkorea,0,
8,04/05,Damir Cakar,10299,31,Montenegro,FK Partizan Belgrad,669,Buducnost Podgorica,4391,Serbien,0,
9,04/05,Milan Stojanoski,10282,30,Nordmazedonien,FK Partizan Belgrad,669,APOEL Nikosia,2784,Zypern,0,
10,04/05,Tomasz Rzasa,4373,31,Polen,FK Partizan Belgrad,669,SC Heerenveen,306,Niederlande,0,1.Liga
11,04/05,Vladimir Ivic,10291,27,Serbien,FK Partizan Belgrad,669,Borussia Mönchengladbach,18,Deutschland,0,1.Liga
12,04/05,Ivica Iliev,10300,24,Serbien,FK Partizan Belgrad,669,FC Messina Peloro,1104,Italien,0,1.Liga
13,04/05,Ljubinko Drulovic,3627,35,Serbien,FK Partizan Belgrad,669,FC Penafiel,3327,Portugal,0,1.Liga
14,04/05,Nenad Miskovic,20904,28,Bosnien-Herzegowina,FK Partizan Belgrad,669,Cercle Brügge,520,Belgien,0,1.Liga
15,04/05,Radovan Radakovic,10284,33,Serbien,FK Partizan Belgrad,669,SK Sturm Graz,122,Österreich,0,1.Liga
16,04/05,Dejan Zivkovic,43575,24,Serbien,FK Partizan Belgrad,669,OFK Belgrad,53,Serbien,0,
17,04/05,Nemanja Vidic‎,19726,22,Serbien,Roter Stern Belgrad,159,Spartak Moskau,232,Russland,4450000 ,1.Liga
18,04/05,Dragan Mladenovic,18714,28,Serbien,Roter Stern Belgrad,159,Glasgow Rangers,124,Schottland,1600000 ,1.Liga
19,04/05,Milivoje Vitakic,19727,27,Serbien,Roter Stern Belgrad,159,LOSC Lille,1082,Frankreich,308000 ,1.Liga
20,04/05,Aleksandar Mijatovic,36932,22,Serbien,Roter Stern Belgrad,159,FK Obilic,37,Serbien,50000 ,
21,04/05,Mario Gjurovski,42438,18,Nordmazedonien,Roter Stern Belgrad,159,FK Bezanija,10319,Serbien,0,
22,04/05,Radosav Bulić,49774,27,Montenegro,Roter Stern Belgrad,159,Rubin Kazan,2698,Russland,0,1.Liga
23,04/05,Alexander Arsovic,9001,22,Deutschland,Roter Stern Belgrad,159,FC Energie Cottbus II,847,Deutschland,0,4.Liga
