,Saison,Name,Player_ID,Alter,Nationalität,Abgebender Verein,ID_1,Aufnehmender Verein,ID_2,Zielland,Ablösesumme,Ligahöhe
0,03/04,Martin Hasek,2941,33,Tschechien,FK Austria Wien,14,SK Sturm Graz,122,Österreich,0.0,1.Liga
1,03/04,Thomas Luttenberger,16486,23,Österreich,FK Austria Wien,14,SC Interwetten.com,1378,Österreich,0.0,2.Liga
2,03/04,Volkan Kahraman,3017,24,Österreich,FK Austria Wien,14,Skoda Xanthi,128,Griechenland,0.0,1.Liga
3,03/04,Joachim Parapatits,5052,22,Österreich,FK Austria Wien,14,SC Interwetten.com,1378,Österreich,0.0,2.Liga
4,03/04,Júlio César,2943,24,Brasilien,FK Austria Wien,14,Real Valladolid,366,Spanien,0.0,1.Liga
5,03/04,Petter Rudi,6641,30,Norwegen,FK Austria Wien,14,Molde FK,687,Norwegen,0.0,1.Liga
6,03/04,Martin Hiden,2942,30,Österreich,FK Austria Wien,14,SK Rapid Wien,170,Österreich,0.0,1.Liga
7,03/04,Raymond Kvisvik,2958,28,Norwegen,FK Austria Wien,14,SK Brann,1100,Norwegen,0.0,1.Liga
8,03/04,Wolfgang Hopfer,2952,28,Österreich,FK Austria Wien,14,SV Mattersburg,856,Österreich,0.0,1.Liga
9,03/04,Manfred Rothbauer,2949,27,Österreich,FK Austria Wien,14,FC Pasching,935,Österreich,0.0,1.Liga
10,03/04,Paul Scharner,2953,23,Österreich,FK Austria Wien,14,SV Austria Salzburg,409,Österreich,0.0,1.Liga
11,03/04,Richard Hastings,4992,26,Kanada,Grazer AK,316,MVV Maastricht,384,Niederlande,0.0,2.Liga
12,03/04,Enrico Kulovits,3043,29,Österreich,Grazer AK,316,Skoda Xanthi,128,Griechenland,0.0,1.Liga
13,03/04,Skelley Adu Tutu,27440,24,Ghana,Grazer AK,316,SV Kapfenberg,2394,Österreich,0.0,2.Liga
14,03/04,Fabrice Moreau,183078,35,Kamerun,Grazer AK,316,Partick Thistle FC ,2760,Schottland,0.0,
15,03/04,Benedict Akwuegbu,5007,29,Nigeria,Grazer AK,316,FC Kärnten (- 2009),155,Österreich,0.0,1.Liga
