,Saison,Name,Player_ID,Alter,Nationalität,Abgebender Verein,ID_1,Aufnehmender Verein,ID_2,Zielland,Ablösesumme,Ligahöhe
0,03/04,Peter Madsen,3082,25,Dänemark,Bröndby IF,206,VfL Bochum,80,Deutschland,700000,1.Liga
1,03/04,Dennis Cagara,7374,18,Philippinen,Bröndby IF,206,Hertha BSC,44,Deutschland,25000,1.Liga
2,03/04,Mads Jørgensen,12562,24,Dänemark,Bröndby IF,206,Ancona Calcio,1388,Italien,0,1.Liga
3,03/04,Kim Drejs,23023,22,Dänemark,Bröndby IF,206,BK Fremad Amager,5716,Dänemark,0,
4,03/04,Anders Rasmussen,23300,22,Dänemark,Bröndby IF,206,Dalum IF,5714,Dänemark,0,
5,03/04,Peter Degn,22461,26,Dänemark,Bröndby IF,206,Silkeborg IF,1177,Dänemark,0,
6,03/04,Mads Junker,22877,22,Dänemark,Bröndby IF,206,Ölstykke FC,5870,Dänemark,0,
7,03/04,Hans Yoo Mathiesen,23260,20,Dänemark,Bröndby IF,206,AC Horsens,2414,Dänemark,0,
8,03/04,Thomas Hansen,20845,20,Dänemark,Odense Boldklub,173,Esbjerg fB,3426,Dänemark,0,
9,03/04,Karim Zaza,15057,28,Marokko,Odense Boldklub,173,Bröndby IF,206,Dänemark,0,
10,03/04,Rasmus Johansen,23053,24,Dänemark,Odense Boldklub,173,B1909 Odense,5790,Dänemark,0,
11,03/04,Mads Toppel,23584,21,Dänemark,Odense Boldklub,173,B1909 Odense,5790,Dänemark,0,
12,03/04,Claus Pedersen,23811,20,Dänemark,Odense Boldklub,173,Kolding FC,5886,Dänemark,0,
13,03/04,Casper Kruse,23794,21,Dänemark,Odense Boldklub,173,B1909 Odense,5790,Dänemark,0,
14,03/04,Raafat El Soussi,42317,29,Dänemark,Odense Boldklub,173,B1913 Odense,5791,Dänemark,0,
15,03/04,Matt Jordan,26838,28,Vereinigte Staaten,Odense Boldklub,173,Columbus Crew SC,813,Vereinigte Staaten,0,1.Liga
16,03/04,Ulrik Johansen,42673,23,Dänemark,Odense Boldklub,173,B1909 Odense,5790,Dänemark,0,
17,03/04,Sune Heilbo,22826,24,Dänemark,Odense Boldklub,173,SönderjyskE,5817,Dänemark,0,
18,03/04,Simon Jörgensen,23481,20,Dänemark,Odense Boldklub,173,Slagelse B&I,5892,Dänemark,0,
19,03/04,Jens Gamborg,23439,21,Dänemark,Odense Boldklub,173,B1909 Odense,5790,Dänemark,0,
20,03/04,Sören Rasmussen,23815,31,Dänemark,Odense Boldklub,173,Naesby Boldklub,5889,Dänemark,0,
21,03/04,Steffen Hartmann,22985,21,Dänemark,FC Kopenhagen,190,FC Nordsjaelland,2778,Dänemark,125000,
22,03/04,Jörgen Pettersson,16,28,Schweden,FC Kopenhagen,190,Landskrona BoIS,2294,Schweden,0,
23,03/04,Thomas Lundbye,23136,20,Dänemark,FC Kopenhagen,190,BK Fremad Amager,5716,Dänemark,0,
24,03/04,Casper Andersen,22834,21,Dänemark,FC Kopenhagen,190,FC Nordsjaelland,2778,Dänemark,0,
25,03/04,Martin Lundbye,23231,19,Dänemark,FC Kopenhagen,190,Boldklubben Skjold,5792,Dänemark,0,
26,03/04,Mustafa Gönden,649211,28,Türkei,FC Kopenhagen,190,Diyarbakirspor,845,Türkei,0,1.Liga
27,03/04,Erik Wahlstedt,3732,27,Schweden,Esbjerg fB,3426,Helsingborgs IF,699,Schweden,0,
28,03/04,Sören Pallesen,23095,25,Dänemark,Esbjerg fB,3426,FC Fredericia,5776,Dänemark,0,
29,03/04,Björn Andersohn,40465,20,Deutschland,Esbjerg fB,3426,SV Bonlanden,1353,Deutschland,0,4.Liga
30,03/04,Michael Hansen,22521,31,Dänemark,Esbjerg fB,3426,FC Midtjylland,865,Dänemark,0,
31,03/04,Kim Olsen,16153,24,Dänemark,FC Midtjylland,865,Sheffield Wednesday,1035,England,30000,3.Liga
32,03/04,Heinrich Jensen,23784,19,Dänemark,FC Midtjylland,865,Slagelse B&I,5892,Dänemark,0,
33,03/04,Kenneth From,23029,30,Dänemark,FC Midtjylland,865,Kolding FC,5886,Dänemark,0,
34,03/04,Mogens Laursen,22894,22,Dänemark,FC Midtjylland,865,Randers FC,5724,Dänemark,0,
35,03/04,Lasse Sall,120596,30,Dänemark,FC Midtjylland,865,Kolding FC,5886,Dänemark,0,
36,03/04,Mohamed Zidan,17275,21,Ägypten,Akademisk Boldklub,362,FC Midtjylland,865,Dänemark,400000,
37,03/04,Sammy Youssouf,6162,26,Dänemark,Akademisk Boldklub,362,RBC Roosendaal,1227,Niederlande,0,1.Liga
38,03/04,Jan Hoffmann,20847,32,Dänemark,Akademisk Boldklub,362,FC Nordsjaelland,2778,Dänemark,0,
39,03/04,Rasmus Daugaard,22480,26,Dänemark,Akademisk Boldklub,362,FC Midtjylland,865,Dänemark,0,
40,03/04,Rasmus Green,23442,23,Dänemark,Akademisk Boldklub,362,Ölstykke FC,5870,Dänemark,0,
41,03/04,Nicolai Stokholm,22513,27,Dänemark,Akademisk Boldklub,362,Odense Boldklub,173,Dänemark,0,
42,03/04,Martin Thrane,23336,21,Dänemark,Akademisk Boldklub,362,Aalborg BK,1053,Dänemark,0,
43,03/04,Heine Fernandez,149563,37,Dänemark,Akademisk Boldklub,362,HB Tórshavn,4313,Färöer,0,
44,03/04,Asbjörn Sennels,15385,24,Dänemark,Viborg FF,1063,Bröndby IF,206,Dänemark,800000,
45,03/04,Steffen Höjer,22486,30,Dänemark,Viborg FF,1063,Odense Boldklub,173,Dänemark,0,
46,03/04,Morten Hamm,23035,28,Dänemark,Viborg FF,1063,BK Frem,444,Dänemark,0,
47,03/04,Arkadiusz Onyszko,22502,29,Polen,Viborg FF,1063,Odense Boldklub,173,Dänemark,0,
48,03/04,Sasho Petrovski,43180,28,Australien,Viborg FF,1063,Parramatta Power,2500,Australien,0,
49,03/04,Johnny Helledie Nielsen,23627,27,Dänemark,Viborg FF,1063,Hjörring IF ,5719,Dänemark,0,
50,03/04,Rami Kais,23237,19,Irak,FC Nordsjaelland,2778,BK Frem,444,Dänemark,0,
51,03/04,Ronni Jonski,23054,22,Dänemark,FC Nordsjaelland,2778,BK Frem,444,Dänemark,0,
52,03/04,Dzevdet Sainoski,16934,30,Nordmazedonien,FC Nordsjaelland,2778,Malmö ABI,6596,Schweden,0,
53,03/04,Martin Johansen,3493,30,Dänemark,FC Nordsjaelland,2778,Boldklubben Skjold,5792,Dänemark,0,
54,03/04,Jacob Gregersen,155128,30,Dänemark,FC Nordsjaelland,2778,Odense Boldklub,173,Dänemark,0,
55,03/04,Andres Oper,14924,25,Estland,Aalborg BK,1053,Torpedo Moskau,1186,Russland,450000,1.Liga
56,03/04,Brian Priske,13351,26,Dänemark,Aalborg BK,1053,KRC Genk,1184,Belgien,125000,1.Liga
57,03/04,Stefan Bidstrup,3494,28,Dänemark,Aalborg BK,1053,Viborg FF,1063,Dänemark,120000,
58,03/04,Michael Silberbauer,15131,22,Dänemark,Aalborg BK,1053,FC Kopenhagen,190,Dänemark,0,
59,03/04,Thomas Baelum,15119,25,Dänemark,Aalborg BK,1053,MSV Duisburg,52,Deutschland,0,2.Liga
60,03/04,Morten Larsen,15126,24,Dänemark,Aalborg BK,1053,FC Nordjylland,21022,Dänemark,0,
61,03/04,Niels Christian Jensen,23048,19,Dänemark,Aalborg BK,1053,FC Fredericia,5776,Dänemark,0,
62,03/04,Diego Tur,23113,31,Dänemark,Aalborg BK,1053,BK Frem,444,Dänemark,0,
63,03/04,Jesper Andersen,22163,24,Dänemark,Aarhus GF,678,Viborg FF,1063,Dänemark,0,
64,03/04,Alex Nörlund,22180,29,Dänemark,Aarhus GF,678,Viborg FF,1063,Dänemark,0,
65,03/04,Nicolaj Hust,15307,25,Dänemark,Aarhus GF,678,Fortuna Düsseldorf,38,Deutschland,0,4.Liga
66,03/04,Mads Rieper,23304,29,Dänemark,Aarhus GF,678,AC Horsens,2414,Dänemark,0,
67,03/04,Morten Poulsen,161376,32,Dänemark,Aarhus GF,678,Viborg FF,1063,Dänemark,0,
68,03/04,Jesper Sörensen,23670,30,Dänemark,Aarhus GF,678,Brabrand IF,5874,Dänemark,0,
69,03/04,Christian Lundberg,22828,33,Dänemark,Aarhus GF,678,Aalborg BK,1053,Dänemark,0,
70,03/04,Maikel Renfurm,1163,26,Niederlande,Herfölge Boldklub,445,Sparta Rotterdam,468,Niederlande,0,2.Liga
71,03/04,Simon Karkov,22681,27,Dänemark,Herfölge Boldklub,445,FH Hafnarfjördur,1185,Island,0,
72,03/04,Dennis Danry,23130,24,Dänemark,Herfölge Boldklub,445,BK Fremad Amager,5716,Dänemark,0,
73,03/04,Anders Flaskager,23132,27,Dänemark,Herfölge Boldklub,445,BK Fremad Amager,5716,Dänemark,0,
