,Saison,Name,Player_ID,Alter,Nationalität,Abgebender Verein,ID_1,Aufnehmender Verein,ID_2,Zielland,Ablösesumme,Ligahöhe
0,03/04,Arnold Bruggink,4354,25,Niederlande,PSV Eindhoven,383,RCD Mallorca,237,Spanien,0,1.Liga
1,03/04,Jürgen Dirkx,4339,27,Niederlande,PSV Eindhoven,383,Reusel Sport,4505,Niederlande,0,
2,03/04,Giorgi Gakhokidze,4356,27,Georgien,PSV Eindhoven,383,FC Twente Enschede,317,Niederlande,0,1.Liga
3,03/04,Gino Coutinho,6931,20,Niederlande,PSV Eindhoven,383,NAC Breda,132,Niederlande,0,1.Liga
4,03/04,Robert van Boxel,4471,20,Niederlande,PSV Eindhoven,383,ADO Den Haag,1268,Niederlande,0,1.Liga
5,03/04,Suat Usta,6920,21,Türkei,PSV Eindhoven,383,Galatasaray,141,Türkei,0,1.Liga
6,03/04,Cristian Chivu,4314,22,Rumänien,Ajax Amsterdam,610,AS Rom,12,Italien,18000000 ,1.Liga
7,03/04,Andy van der Meyde,3772,23,Niederlande,Ajax Amsterdam,610,FC Internazionale,46,Italien,6000000 ,1.Liga
8,03/04,Mido,4329,20,Ägypten,Ajax Amsterdam,610,Olympique Marseille,244,Frankreich,6000000 ,1.Liga
9,03/04,André Bergdölmo,4312,31,Norwegen,Ajax Amsterdam,610,Borussia Dortmund,16,Deutschland,300000 ,1.Liga
10,03/04,Cedric van der Gun,4676,24,Niederlande,Ajax Amsterdam,610,ADO Den Haag,1268,Niederlande,0,1.Liga
11,03/04,Nikolaos Machlas,3853,30,Griechenland,Ajax Amsterdam,610,Iraklis Thessaloniki,47,Griechenland,0,1.Liga
12,03/04,Tijani Babangida,4831,29,Nigeria,Ajax Amsterdam,610,Changchun Yatai,4768,China,0,
13,03/04,Joey Didulica,4309,25,Kroatien,Ajax Amsterdam,610,FK Austria Wien,14,Österreich,0,1.Liga
14,03/04,Wamberto,4328,29,Brasilien,Ajax Amsterdam,610,RAEC Mons (- 2015),1411,Belgien,0,1.Liga
15,03/04,Richard Witschge,4325,33,Niederlande,Ajax Amsterdam,610,ADO '20 Heemskerk,9547,Niederlande,0,
16,03/04,Bonaventure Kalou,4164,25,Elfenbeinküste,Feyenoord Rotterdam,234,AJ Auxerre,290,Frankreich,4000000 ,1.Liga
17,03/04,Brett Emerton,4367,24,Australien,Feyenoord Rotterdam,234,Blackburn Rovers,164,England,3000000 ,1.Liga
18,03/04,Paul Bosvelt,4376,33,Niederlande,Feyenoord Rotterdam,234,Manchester City,281,England,1500000 ,1.Liga
19,03/04,Pierre van Hooijdonk,3520,33,Niederlande,Feyenoord Rotterdam,234,Fenerbahce,36,Türkei,1000000 ,1.Liga
20,03/04,Tomasz Rzasa,4373,30,Polen,Feyenoord Rotterdam,234,FK Partizan Belgrad,669,Serbien,0,
21,03/04,Alessandro,31777,21,Brasilien,Feyenoord Rotterdam,234,América FC (MG),2863,Brasilien,0,
22,03/04,Brian Pinas,4381,24,Niederlande,Feyenoord Rotterdam,234,FC Groningen,202,Niederlande,0,1.Liga
23,03/04,Ronald Graafland,19342,24,Niederlande,Feyenoord Rotterdam,234,Excelsior Rotterdam,798,Niederlande,0,2.Liga
24,03/04,Mauricio Aros,90629,27,Chile,Feyenoord Rotterdam,234,Al-Hilal Saudi FC,1114,Saudi-Arabien,0,
25,03/04,Michel Bastos,12142,19,Brasilien,Feyenoord Rotterdam,234,Clube Atlético Paranaense,679,Brasilien,0,
26,03/04,Peter Zoïs,4439,25,Australien,NAC Breda,132,Willem II Tilburg,403,Niederlande,0,1.Liga
27,03/04,Jean Philip Becht,4440,22,Niederlande,NAC Breda,132,VV Kloetinge,10716,Niederlande,0,
28,03/04,Kofi Mensah,4444,25,Ghana,NAC Breda,132,ADO Den Haag,1268,Niederlande,0,1.Liga
29,03/04,Rick Versteeg,4457,26,Niederlande,NAC Breda,132,VVGZ Zwijndrecht,2825,Niederlande,0,
30,03/04,Earnie Stewart,4463,34,Vereinigte Staaten,NAC Breda,132,D.C. United,2440,Vereinigte Staaten,0,1.Liga
31,03/04,Anouar Hamdi,4461,21,Marokko,NAC Breda,132,VV Ter Leede,6130,Niederlande,0,
32,03/04,Alfred Schreuder,4455,30,Niederlande,NAC Breda,132,Feyenoord Rotterdam,234,Niederlande,0,1.Liga
33,03/04,Yassine Abdellaoui,12113,28,Niederlande,NAC Breda,132,De Graafschap Doetinchem,642,Niederlande,0,2.Liga
34,03/04,Kevin Bobson,4458,23,Niederlande,NAC Breda,132,Espanyol Barcelona,714,Spanien,0,1.Liga
35,03/04,Mike Owusu,4518,26,Schweden,NEC Nijmegen,467,Trelleborgs FF,701,Schweden,0,
36,03/04,Guillano Grot,9729,20,Niederlande,NEC Nijmegen,467,1.FC Bocholt,392,Deutschland,0,4.Liga
37,03/04,Danny Hesp,4516,33,Niederlande,NEC Nijmegen,467,RBC Roosendaal,1227,Niederlande,0,1.Liga
38,03/04,Erik Wegh,4529,23,Niederlande,NEC Nijmegen,467,AGOVV Apeldoorn,1389,Niederlande,0,2.Liga
39,03/04,Kevin Moeliker,6248,23,Niederlande,NEC Nijmegen,467,Stormvogels Telstar,1434,Niederlande,0,2.Liga
40,03/04,Gjorgji Hristov,4532,27,Nordmazedonien,NEC Nijmegen,467,FC Zwolle,1269,Niederlande,0,1.Liga
41,03/04,Henry Timmer,4515,22,Niederlande,NEC Nijmegen,467,OBW Zevenaar,6618,Niederlande,0,
42,03/04,Gary Spier,4528,19,Suriname,NEC Nijmegen,467,Sporting Almere,20329,Niederlande,0,
43,03/04,Dennis de Nooijer,4156,34,Niederlande,NEC Nijmegen,467,Sparta Rotterdam,468,Niederlande,0,2.Liga
44,03/04,Tom Soetaers,4625,23,Belgien,Roda JC Kerkrade,192,Ajax Amsterdam,610,Niederlande,900000 ,1.Liga
45,03/04,Giannis Anastasiou,4619,30,Griechenland,Roda JC Kerkrade,192,Ajax Amsterdam,610,Niederlande,800000 ,1.Liga
46,03/04,Fredrik Berglund,4620,24,Schweden,Roda JC Kerkrade,192,Esbjerg fB,3426,Dänemark,150000 ,
47,03/04,Gerrit Bürk,8660,22,Deutschland,Roda JC Kerkrade,192,Fortuna Düsseldorf,38,Deutschland,0,4.Liga
48,03/04,Donovan Maury,102538,22,Belgien,Roda JC Kerkrade,192,US Sambenedettese,4330,Italien,0,
49,03/04,Marc Nygaard,3491,26,Dänemark,Roda JC Kerkrade,192,Brescia Calcio,19,Italien,0,1.Liga
50,03/04,Mika Nurmela,4409,31,Finnland,SC Heerenveen,306,1.FC Kaiserslautern,2,Deutschland,750000 ,1.Liga
51,03/04,Daniel Jensen,4403,24,Dänemark,SC Heerenveen,306,Real Murcia,171,Spanien,0,1.Liga
52,03/04,Romano Denneboom,4166,22,Niederlande,SC Heerenveen,306,Willem II Tilburg,403,Niederlande,0,1.Liga
53,03/04,Niels Kokmeijer,4407,25,Niederlande,SC Heerenveen,306,HFC Haarlem,643,Niederlande,0,2.Liga
54,03/04,Abgar Barsom,4406,26,Schweden,SC Heerenveen,306,Djurgårdens IF,1044,Schweden,0,
55,03/04,Rocky Siberie,22414,21,Curacao,SC Heerenveen,306,Cambuur-Leeuwarden bvo,133,Niederlande,0,2.Liga
56,03/04,Dragan Sladakovic,92932,20,Kroatien,SC Heerenveen,306,Velocitas 1897,21735,Niederlande,0,
57,03/04,Stephan van Hoving,30609,20,Niederlande,SC Heerenveen,306,Cambuur-Leeuwarden bvo,133,Niederlande,0,2.Liga
58,03/04,Godfrey Nwankpa,148762,24,Nigeria,SC Heerenveen,306,CS Visé,3172,Belgien,0,
59,03/04,Dirk Kuyt,4010,22,Niederlande,FC Utrecht,200,Feyenoord Rotterdam,234,Niederlande,1000000 ,1.Liga
