,Saison,Name,Player_ID,Alter,Nationalität,Abgebender Verein,ID_1,Aufnehmender Verein,ID_2,Zielland,Ablösesumme,Ligahöhe
0,03/04,Piotr Wlodarczyk,5441,26,Polen,Widzew Lodz,88,Legia Warschau,255,Polen,90000 ,1.Liga
1,03/04,Piotr Mosor,35122,29,Polen,Widzew Lodz,88,Ruch Chorzow,318,Polen,0,
2,03/04,Ireneusz Chrzanowski,32286,25,Polen,Widzew Lodz,88,Polar Wroclaw,6115,Polen,0,
3,03/04,Michal Stasiak,24521,22,Polen,Widzew Lodz,88,Dyskobolia Grodzisk Wielkopolski,2775,Polen,0,1.Liga
4,03/04,Dawid Banaczek,26155,24,Polen,Widzew Lodz,88,FC Vaduz,163,Schweiz,0,2.Liga
5,03/04,Grzegorz Bonk,32960,26,Polen,Widzew Lodz,88,Ruch Radzionkow,9239,Polen,0,
6,03/04,Zeljko Mrvaljevic,32992,22,Montenegro,Widzew Lodz,88,FK Mornar Bar,4639,Montenegro,0,
7,03/04,Przemyslaw Urbaniak,27270,28,Polen,Widzew Lodz,88,Swit Nowy Dwor Mazowiecki,6190,Polen,0,1.Liga
8,03/04,Paulo César Pérez,16218,26,Argentinien,Widzew Lodz,88,Ionikos Nikeas,553,Griechenland,0,1.Liga
9,03/04,Bogdan Zajac,16166,31,Polen,Widzew Lodz,88,FC Kärnten (- 2009),155,Österreich,0,1.Liga
10,03/04,Giuliano,12863,25,Brasilien,Widzew Lodz,88,Panionios Athen,169,Griechenland,0,1.Liga
11,03/04,Maciej Terlecki,16957,26,Polen,Widzew Lodz,88,Wisla Plock,2118,Polen,0,1.Liga
12,03/04,Clément Beaud,28883,22,Kamerun,Widzew Lodz,88,FK Vetra Vilnius (–2010),5956,Litauen,0,
13,03/04,Kazimierz Wegrzyn,29754,36,Polen,Widzew Lodz,88,Cracovia,5689,Polen,0,
14,03/04,Maciej Scherfchen,29856,24,Polen,Widzew Lodz,88,Lech Posen,238,Polen,0,1.Liga
15,03/04,Przemyslaw Boldt,172025,29,Polen,Widzew Lodz,88,Polar Wroclaw,6115,Polen,0,
16,03/04,Darci,17552,35,Brasilien,Widzew Lodz,88,Olaria Atlético Clube (RJ),1516,Brasilien,0,
17,03/04,Mariusz Gostynski,279199,25,Polen,Widzew Lodz,88,Stasiak Opoczno,7984,Polen,0,
18,03/04,Zbigniew Robakiewicz,171998,37,Polen,Widzew Lodz,88,Tur Turek,6106,Polen,0,
19,03/04,Marcin Morawski,36455,23,Polen,Widzew Lodz,88,Wlokniarz Mirsk,33726,Polen,0,
20,03/04,Piotr Matys,172036,25,Polen,Widzew Lodz,88,Gornik Leczna,3291,Polen,0,1.Liga
21,03/04,Miodrag Andjelkovic,5276,26,Serbien,Widzew Lodz,88,OFK Belgrad,53,Serbien,0,
22,03/04,Jerzy Podbrozny,155615,36,Polen,Widzew Lodz,88,Swit Nowy Dwor Mazowiecki,6190,Polen,0,1.Liga
23,03/04,Michal Karwan,24527,22,Polen,Swit Nowy Dwor Mazowiecki,6190,Górnik Zabrze,428,Polen,75000 ,1.Liga
24,03/04,Piotr Karwan,33144,23,Polen,Swit Nowy Dwor Mazowiecki,6190,Ruch Wysokie Mazowieckie,8612,Polen,0,
25,03/04,Maciej Wojtas,35152,23,Polen,Swit Nowy Dwor Mazowiecki,6190,Radomiak Radom,7154,Polen,0,
26,03/04,Marek Golebiewski,35103,23,Polen,Swit Nowy Dwor Mazowiecki,6190,Radomiak Radom,7154,Polen,0,
27,03/04,Dariusz Turkowski,172145,28,Polen,Swit Nowy Dwor Mazowiecki,6190,Kujawiak Wloclawek,11369,Polen,0,
28,03/04,Robert Rozanski,770821,31,Polen,Swit Nowy Dwor Mazowiecki,6190,Podlasie Biala Podlaska,9486,Polen,0,
29,03/04,Maxwell Kalu,32976,27,Nigeria,Swit Nowy Dwor Mazowiecki,6190,Mieszko Gniezno,8362,Polen,0,
30,03/04,Mariusz Unierzyski,27218,29,Polen,Swit Nowy Dwor Mazowiecki,6190,RKS Radomsko,1655,Polen,0,
31,03/04,Michal Adamczyk,172131,24,Polen,Swit Nowy Dwor Mazowiecki,6190,Unia Skierniewice,30753,Polen,0,
32,03/04,Tomasz Reginis,35131,28,Polen,Swit Nowy Dwor Mazowiecki,6190,Jagiellonia Bialystok,2300,Polen,0,
33,03/04,Piotr Samoraj,38332,19,Polen,Swit Nowy Dwor Mazowiecki,6190,Mazowsze Grójec,8681,Polen,0,
34,03/04,Piotr Orlinski,172123,27,Polen,Swit Nowy Dwor Mazowiecki,6190,LKS Lodz,256,Polen,0,
35,03/04,Rafal Szczytniewski,172126,31,Polen,Swit Nowy Dwor Mazowiecki,6190,Znicz Pruszkow,9109,Polen,0,
36,03/04,Adam Czerkas,32245,18,Polen,Swit Nowy Dwor Mazowiecki,6190,Okecie Warszawa,10192,Polen,0,
37,03/04,Piotr Sowisz,279440,31,Polen,Swit Nowy Dwor Mazowiecki,6190,Przyszlosc Rogow,9108,Polen,0,
38,03/04,Martin Bystron,172120,29,Tschechien,Swit Nowy Dwor Mazowiecki,6190,FC Vitkovice,8685,Tschechien,0,
39,03/04,Tomasz Nakielski,42080,27,Polen,Swit Nowy Dwor Mazowiecki,6190,Korona Kielce,6110,Polen,0,
40,03/04,Darius Zutautas,43980,25,Litauen,Swit Nowy Dwor Mazowiecki,6190,FBK Kaunas (- 2012),1187,Litauen,0,
41,03/04,Tomasz Salamonski,29535,29,Polen,Górnik Polkowice,4868,Zaglebie Lubin,168,Polen,0,
42,03/04,Jacek Kacprzak,33584,32,Polen,Górnik Polkowice,4868,Stasiak Opoczno,7984,Polen,0,
43,03/04,Maciej Sobon,29750,24,Polen,Górnik Polkowice,4868,GKS Katowice,6456,Polen,0,1.Liga
44,03/04,Radoslaw Jasinski,186366,31,Polen,Górnik Polkowice,4868,Polar Wroclaw,6115,Polen,0,
45,03/04,Tomasz Romaniuk,35133,29,Polen,Górnik Polkowice,4868,Polar Wroclaw,6115,Polen,0,
46,03/04,Arkadiusz Maciejewski,172034,25,Polen,Górnik Polkowice,4868,Stasiak Opoczno,7984,Polen,0,
47,03/04,Maciej Pastuszka,35125,26,Polen,Gornik Leczna,3291,Korona Kielce,6110,Polen,0,
48,03/04,Bartlomiej Wilk,349572,29,Polen,Gornik Leczna,3291,Piast Gliwice,6112,Polen,0,
49,03/04,Wojciech Jarzynka,281770,30,Polen,Gornik Leczna,3291,Podlasie Biala Podlaska,9486,Polen,0,
50,03/04,Bartosz Rachowski,172140,26,Polen,Gornik Leczna,3291,Motor Lublin,3527,Polen,0,
51,03/04,Jacek Iwanicki,766320,25,Polen,Gornik Leczna,3291,Tomasovia Tomaszow Lubelski,30027,Polen,0,
52,03/04,Piotr Banski,27125,28,Polen,Gornik Leczna,3291,KSZO Ostrowiec Swietokrzyski,1986,Polen,0,
53,03/04,Konrad Nowak,42500,18,Polen,Gornik Leczna,3291,Motor Lublin,3527,Polen,0,
54,03/04,Andrzej Niedzielan,14217,24,Polen,Dyskobolia Grodzisk Wielkopolski,2775,NEC Nijmegen,467,Niederlande,1000000 ,1.Liga
55,03/04,Krzysztof Sikora,69041,17,Polen,Dyskobolia Grodzisk Wielkopolski,2775,Obra Koscian,8692,Polen,0,
56,03/04,Jan Wos,29833,29,Polen,Dyskobolia Grodzisk Wielkopolski,2775,Odra Wodzislaw Slaski,1305,Polen,0,1.Liga
57,03/04,Krzysztof Kotorowski,29845,26,Polen,Dyskobolia Grodzisk Wielkopolski,2775,Blekitni Stargard,29830,Polen,0,
58,03/04,Lukasz Gorszkow,32974,29,Polen,Dyskobolia Grodzisk Wielkopolski,2775,Swit Nowy Dwor Mazowiecki,6190,Polen,0,1.Liga
59,03/04,Artur Januszewski,29514,26,Polen,Dyskobolia Grodzisk Wielkopolski,2775,Wisla Plock,2118,Polen,0,1.Liga
60,03/04,Marcin Kozlowski,42145,22,Polen,Dyskobolia Grodzisk Wielkopolski,2775,Arka Gdynia,6107,Polen,0,
61,03/04,Marcin Lukaszewski,24560,25,Polen,Dyskobolia Grodzisk Wielkopolski,2775,Swit Nowy Dwor Mazowiecki,6190,Polen,0,1.Liga
62,03/04,Bogdan Prusek,172042,32,Polen,Dyskobolia Grodzisk Wielkopolski,2775,Podbeskidzie Bielsko-Biala,6361,Polen,0,
63,03/04,Tomasz Ciesielski,32962,24,Polen,Polonia Warschau,2745,Unia Janikowo,8642,Polen,0,
64,03/04,Pawel Kloskowicz,763598,22,Polen,Polonia Warschau,2745,KS Lomianki,43104,Polen,0,
65,03/04,Lukasz Wozniak,172160,23,Polen,Polonia Warschau,2745,Pogon Swiebodzin,13395,Polen,0,
66,03/04,Seth Ablade,143574,20,Ghana,Polonia Warschau,2745,KF Elbasani (- 2022),6983,Albanien,0,
67,03/04,Pawel Hajduczek,61196,21,Polen,Polonia Warschau,2745,Znicz Pruszkow,9109,Polen,0,
68,03/04,Michal Herman,69118,21,Polen,Polonia Warschau,2745,Znicz Pruszkow,9109,Polen,0,
69,03/04,Napoleon Amaefule,15136,22,Nigeria,Polonia Warschau,2745,PAOK Thessaloniki,1091,Griechenland,0,1.Liga
70,03/04,Stanley Udenkwor,38569,22,Nigeria,Polonia Warschau,2745,Okecie Warszawa,10192,Polen,0,
71,03/04,Sebastian Wrzesinski,35154,20,Polen,Polonia Warschau,2745,Pelikan Lowicz,6559,Polen,0,
72,03/04,Lukasz Adamski,32234,22,Polen,Polonia Warschau,2745,Blekitni Stargard,29830,Polen,0,
73,03/04,Pawel Buskiewicz,24545,20,Polen,Polonia Warschau,2745,Górnik Zabrze,428,Polen,0,1.Liga
74,03/04,Wojciech Musula,35123,20,Polen,Polonia Warschau,2745,Znicz Pruszkow,9109,Polen,0,
75,03/04,Robert Gubiec,20826,24,Polen,Polonia Warschau,2745,Ceramika Opoczno,4867,Polen,0,
76,03/04,Mateusz Bartczak,24495,23,Polen,Polonia Warschau,2745,Amica Wronki,176,Polen,0,1.Liga
77,03/04,Robert Mioduszewski,29812,29,Polen,Polonia Warschau,2745,Gornik Leczna,3291,Polen,0,1.Liga
78,03/04,Piotr Kosiorowski,33397,22,Polen,Polonia Warschau,2745,Blekitni Stargard,29830,Polen,0,
79,03/04,Arkadiusz Bak,24494,28,Polen,Polonia Warschau,2745,Amica Wronki,176,Polen,0,1.Liga
80,03/04,Piotr Dziewicki,24503,24,Polen,Polonia Warschau,2745,Amica Wronki,176,Polen,0,1.Liga
81,03/04,Andrey Sinichin,185867,31,Belarus,Polonia Warschau,2745,FK Smorgon,17224,Belarus,0,
