,Saison,Name,Player_ID,Alter,Nationalität,Abgebender Verein,ID_1,Aufnehmender Verein,ID_2,Zielland,Ablösesumme,Ligahöhe
0,03/04,Stepan Vachousek,6117,23,Tschechien,SK Slavia Prag,62,Olympique Marseille,244,Frankreich,2500000,1.Liga
1,03/04,Rudi Skacel,9524,24,Tschechien,SK Slavia Prag,62,Olympique Marseille,244,Frankreich,1600000,1.Liga
2,03/04,Richard Dostalek,3398,29,Tschechien,SK Slavia Prag,62,Rubin Kazan,2698,Russland,1250000,1.Liga
3,03/04,Tomas Kuchar,29518,26,Tschechien,SK Slavia Prag,62,Shinnik Yaroslavl,2374,Russland,450000,1.Liga
4,03/04,Adam Petrous,29469,26,Tschechien,SK Slavia Prag,62,Rubin Kazan,2698,Russland,350000,1.Liga
5,03/04,Petr Svancara,21123,25,Tschechien,SK Slavia Prag,62,1.FC Brünn,5225,Tschechien,200000,1.Liga
6,03/04,Daniel Tchur,34433,27,Tschechien,SK Slavia Prag,62,FC Artmedia Petrzalka,2781,Slowakei,0,1.Liga
7,03/04,Jan Suchoparek,103479,33,Tschechien,SK Slavia Prag,62,SK Kladno,6380,Tschechien,0,
8,03/04,Tomas Kucera,26781,26,Tschechien,SK Slavia Prag,62,FC Viktoria Pilsen,941,Tschechien,0,1.Liga
9,03/04,Jakub Hottek,35168,20,Tschechien,SK Slavia Prag,62,FK Viktoria Zizkov,892,Tschechien,0,1.Liga
10,03/04,Pavel Novotny,103482,29,Tschechien,SK Slavia Prag,62,FC Strizkov Praha 9,12861,Tschechien,0,
11,03/04,Radek Slama,70646,23,Tschechien,SK Slavia Prag,62,FK Chmel Blsany,135,Tschechien,0,1.Liga
12,03/04,Filip Herda,74877,23,Tschechien,SK Slavia Prag,62,SK Kladno,6380,Tschechien,0,
13,03/04,Lukas Hajnik,63887,17,Tschechien,SK Slavia Prag,62,SK Kladno,6380,Tschechien,0,
14,03/04,Michal Vaclavik,27219,27,Tschechien,SK Slavia Prag,62,FK Marila Pribram,2598,Tschechien,0,1.Liga
15,03/04,Jakub Bures,21009,22,Tschechien,FK Chmel Blsany,135,1. FC Synot,5544,Tschechien,400000,1.Liga
16,03/04,Roman Hogen,17959,32,Tschechien,FK Chmel Blsany,135,SK Satalice,5687,Tschechien,0,
17,03/04,Radek Cizek,21014,28,Tschechien,FK Chmel Blsany,135,FK Jablonec 97,1322,Tschechien,0,1.Liga
18,03/04,Jiri Nemec,274,37,Tschechien,FK Chmel Blsany,135,AC Sparta Prag,197,Tschechien,0,1.Liga
19,03/04,David Cap,579438,24,Tschechien,FK Chmel Blsany,135,SK Benesov,24409,Tschechien,0,
20,03/04,Martin Pazdera,579434,26,Tschechien,FK Chmel Blsany,135,AS Pardubice (-2011),6464,Tschechien,0,
21,03/04,Jan Zemlik,21140,25,Tschechien,FK Chmel Blsany,135,FK Marila Pribram,2598,Tschechien,0,1.Liga
22,03/04,Josef Nemec,21089,31,Tschechien,FK Chmel Blsany,135,FC Viktoria Pilsen,941,Tschechien,0,1.Liga
23,03/04,Radek Slama,70646,23,Tschechien,FK Chmel Blsany,135,SK Hradec Kralove,1897,Tschechien,0,
24,03/04,Ivo Zbozinek,21137,26,Tschechien,FK Chmel Blsany,135,1. FK Drnovice,600,Tschechien,0,
25,03/04,Martin Bocek,35942,27,Tschechien,FK Chmel Blsany,135,FK Banik Most,797,Tschechien,0,
26,03/04,David Sourada,24170,29,Tschechien,FK Chmel Blsany,135,Terek Grozny,3725,Russland,0,
27,03/04,Zdenek Grygera,6833,23,Tschechien,AC Sparta Prag,197,Ajax Amsterdam,610,Niederlande,3500000,1.Liga
