,Saison,Name,Player_ID,Alter,Nationalität,Abgebender Verein,ID_1,Aufnehmender Verein,ID_2,Zielland,Ablösesumme,Ligahöhe
0,03/04,Ilhan Mansiz,6875,28,Türkei,Besiktas JK,114,Vissel Kobe,3958,Japan,5000000 ,1.Liga
1,03/04,Ilhan Mansiz,6875,28,Türkei,Besiktas JK,114,Vissel Kobe,3958,Japan,5000000 ,1.Liga
2,03/04,Zafer Demiray,10200,26,Türkei,Besiktas JK,114,Caykur Rizespor,126,Türkei,500000 ,1.Liga
3,03/04,Tamer Tuna,16071,27,Türkei,Besiktas JK,114,Bursaspor,20,Türkei,300000 ,1.Liga
4,03/04,Mehmet Aksu,67612,23,Türkei,Besiktas JK,114,FK Rostov,1083,Russland,250000 ,1.Liga
5,03/04,Ilhan Sahin,29680,22,Türkei,Besiktas JK,114,Büyüksehir Belediyespor,6890,Türkei,0,
6,03/04,Hakan Delil,114394,22,Türkei,Besiktas JK,114,Pendikspor,3209,Türkei,0,
7,03/04,Amaral,17474,30,Brasilien,Besiktas JK,114,Grêmio Porto Alegre,210,Brasilien,0,
8,03/04,Ali Eren Beserler,10197,27,Türkei,Besiktas JK,114,Caykur Rizespor,126,Türkei,0,1.Liga
9,03/04,Bayram Bektas,7936,29,Türkei,Besiktas JK,114,Trabzonspor,449,Türkei,0,1.Liga
10,03/04,Erkan Aygün,110684,23,Türkei,Besiktas JK,114,Kasimpasa,10484,Türkei,0,
11,03/04,Erman Ergin,8682,22,Türkei,Besiktas JK,114,Akcaabat Sebatspor,1511,Türkei,0,1.Liga
12,03/04,Tolga Dogantez,13451,28,Türkei,Besiktas JK,114,Istanbulspor,924,Türkei,0,1.Liga
13,03/04,Serkan Zeybekoglu,8489,20,Türkei,Besiktas JK,114,Fatih Karagümrük,6646,Türkei,0,
14,03/04,Niyazi Güney,8042,29,Türkei,Besiktas JK,114,Konyaspor,2293,Türkei,0,1.Liga
15,03/04,Göksel Gencer,6865,29,Türkei,Besiktas JK,114,Samsunspor,152,Türkei,0,1.Liga
16,03/04,Gabriel Tamas,6893,20,Rumänien,Galatasaray,141,Spartak Moskau,232,Russland,3500000 ,1.Liga
17,03/04,Vedat Inceefe,6868,29,Türkei,Galatasaray,141,Manisaspor,1267,Türkei,300000 ,
18,03/04,Kerem Inan,7343,23,Türkei,Galatasaray,141,Caykur Rizespor,126,Türkei,100000 ,1.Liga
19,03/04,Emre Asik,3379,29,Türkei,Galatasaray,141,Besiktas JK,114,Türkei,0,1.Liga
20,03/04,Frank de Boer,3518,33,Niederlande,Galatasaray,141,Glasgow Rangers,124,Schottland,0,
21,03/04,Haim Revivo,2917,31,Israel,Galatasaray,141,FC Ashdod,6105,Israel,0,
22,03/04,Mehmet Bölükbasi,6938,25,Türkei,Galatasaray,141,Istanbulspor,924,Türkei,0,1.Liga
23,03/04,Ilker Erbay,8707,19,Türkei,Galatasaray,141,Beylerbeyi Spor Kulübü Dernegi,11675,Türkei,0,
24,03/04,Okan Koc,7182,21,Türkei,Genclerbirligi Ankara,820,Besiktas JK,114,Türkei,1400000 ,1.Liga
25,03/04,Murat Salar,7344,26,Türkei,Genclerbirligi Ankara,820,Diyarbakirspor,845,Türkei,100000 ,1.Liga
26,03/04,Gökhan Ünal,7394,21,Türkei,Genclerbirligi Ankara,820,Erciyesspor,3205,Türkei,5000 ,
27,03/04,Ahmed Hassan,6878,28,Ägypten,Genclerbirligi Ankara,820,Besiktas JK,114,Türkei,0,1.Liga
28,03/04,Akif Güclü,17022,21,Österreich,Genclerbirligi Ankara,820,FC Wacker Tirol,2444,Österreich,0,2.Liga
29,03/04,Volkan Kiral,2149,20,Deutschland,Genclerbirligi Ankara,820,1.FC Kaiserslautern II,151,Deutschland,0,3.Liga
30,03/04,Hasan Sönmez,6895,26,Türkei,Genclerbirligi Ankara,820,Trabzonspor,449,Türkei,0,1.Liga
31,03/04,Tomasz Zdebel,3836,30,Polen,Genclerbirligi Ankara,820,VfL Bochum,80,Deutschland,0,1.Liga
32,03/04,Korhan Öztürk,7339,22,Türkei,Genclerbirligi Ankara,820,Karsiyaka,2330,Türkei,0,
33,03/04,Sedat Agcay,8691,21,Türkei,Genclerbirligi Ankara,820,Elazigspor,2292,Türkei,0,1.Liga
34,03/04,Yaw Preko,7247,29,Ghana,Gaziantepspor,524,Halmstads BK,1011,Schweden,0,
35,03/04,Muharrem Kasa,7256,26,Türkei,Gaziantepspor,524,Türk Telekomspor,1518,Türkei,0,
36,03/04,Ömer Közen,7297,21,Türkei,Gaziantepspor,524,Kayserispor,6894,Türkei,0,
37,03/04,Alper Akici,7261,26,Türkei,Gaziantepspor,524,Caykur Rizespor,126,Türkei,0,1.Liga
38,03/04,Júlio César Souza,33790,27,Brasilien,Gaziantepspor,524,FC Santos,221,Brasilien,0,
39,03/04,Gustavo Victoria,7132,23,Kolumbien,Gaziantepspor,524,Caykur Rizespor,126,Türkei,0,1.Liga
